,timestamp,u0,u1,u2,u3,u4,u5,u6,u7,vx,vy,vz,q0,q1,q2,q3,ang_vel_x,ang_vel_y,ang_vel_z,acc_b_x,acc_b_y,acc_b_z,ang_acc_b_x,ang_acc_b_y,ang_acc_b_z,old_index
0,15610000.0,1536.8,1537.5,1536.3,1538.7,1000.0,1500.0,1500.0,1500.0,0.03281955637037754,-0.02870022561401129,-0.5826306915283204,0.7062825138370196,0.00037854877518839203,0.0012375141377560794,0.7079289481043816,0.03357515794535478,-0.017627492547035217,-0.0026001682272180915,0.015562314074486494,0.004788579070009291,-10.05445146560669,-0.21256579458713531,-0.16305156238377094,-0.006606010254472494,127
1,15620000.0,1537.2,1537.0,1536.2,1538.8,1000.0,1500.0,1500.0,1500.0,0.03278773829340935,-0.028547491505742074,-0.5847494459152222,0.7062855809926987,0.0005666255674441345,0.001268767868168652,0.7079256325960159,0.035002049058675766,-0.02188076637685299,-0.0006844174349680543,-0.040701426565647125,-0.01197083480656147,-10.00297737121582,-0.18024970094362894,-0.036677658557891846,-0.005670885245005294,128
2,15630000.0,1537.6,1536.5,1536.1,1538.9,1000.0,1500.0,1500.0,1500.0,0.03275592021644116,-0.02839475739747286,-0.586868200302124,0.7062886481483778,0.000754702359699877,0.0013000215985812247,0.7079223170876503,0.030895375957091648,-0.021199362662931282,0.00046756494945536064,0.018555067479610443,-0.035912858322262764,-9.998785972595215,-0.09006104618310928,-0.16437595337629318,0.1440611369907856,129
3,15640000.0,1538.0,1536.0,1536.0,1539.0,1000.0,1500.0,1500.0,1500.0,0.03272410213947296,-0.028242023289203645,-0.5889869546890258,0.7062917153040568,0.0009427791519556195,0.0013312753289937973,0.7079190015792847,0.03168022260069847,-0.020403185859322548,0.00032034359173849225,-0.011971007101237774,-0.02693459577858448,-10.06642198562622,-0.1508636437356472,-0.036628616973757744,0.09130530431866646,130
4,15650000.0,1538.0,1535.8958333333333,1535.8958333333333,1538.8958333333333,1000.0,1500.0,1500.0,1500.0,0.03269228406250477,-0.02808928918093443,-0.5911057090759277,0.7062947824597359,0.001130855944211362,0.00136252905940637,0.707915686070919,0.02897440766294797,-0.024797988434632618,-0.00021928842761553824,0.07781156897544861,-0.01735778898000717,-10.00477123260498,-0.12763216719031334,-0.09656560979783536,-0.006514746695756912,131
5,15660000.0,1538.0,1535.7916666666667,1535.7916666666667,1538.7916666666667,1000.0,1500.0,1500.0,1500.0,0.032660465985536576,-0.027936555072665216,-0.5932244634628296,0.706299025278825,0.0013037765255341162,0.0013846430408123594,0.7079111475210923,0.027740532532334328,-0.021701056510210037,0.0024794633500277996,0.04788403585553169,-0.07900848984718323,-9.96945571899414,-0.14455978075663248,-0.12420780584216118,0.02546381950378418,132
6,15670000.0,1538.0,1535.6875,1535.6875,1538.6875,1000.0,1500.0,1500.0,1500.0,0.032628647908568384,-0.027783820964396,-0.5953432178497314,0.7063050315930293,0.0014539627904573886,0.0013930473987084741,0.7079047744090741,0.02550239923099677,-0.022465763613581657,0.002729892439674586,0.01675941259600222,-0.038307058311133346,-9.946711540222168,-0.17106541246175766,0.06251898314803839,0.1520912628620863,133
7,15680000.0,1538.0,1535.5833333333333,1535.5833333333333,1538.5833333333333,1000.0,1500.0,1500.0,1500.0,0.03259682983160019,-0.027631086856126787,-0.5974619722366333,0.7063110379072336,0.0016041490553806608,0.001401451756604589,0.7078984012970557,0.020433781668543816,-0.01940028741955757,-0.0003956159343943,0.0454898364841938,0.0017958260141313076,-9.959280967712402,-0.2562931180000305,0.14139518638451895,-0.005833561221758515,134
8,15690000.0,1538.0,1535.4791666666667,1535.4791666666667,1538.4791666666667,1000.0,1500.0,1500.0,1500.0,0.0325128423795104,-0.027384225241839887,-0.5995502793788909,0.7063170442214379,0.001754335320303933,0.0014098561145007038,0.7078920281850375,0.020556519118448097,-0.015761972560236853,-0.0015911497757770121,0.093673144467175,-0.023642571177333593,-9.936537265777588,-0.2541797459125519,0.27694840729236603,-0.2348281554877758,135
9,15700000.0,1538.0,1535.375,1535.375,1538.375,1000.0,1500.0,1500.0,1500.0,0.03222017742693424,-0.026760853603482248,-0.601516797542572,0.7063230505356421,0.0019045215852272054,0.0014182604723968185,0.7078856550730191,0.020511826500296593,-0.016204513609409332,-0.003675694577395916,0.06883330084383488,-0.029328801669180393,-9.988011360168457,-0.09141046740114689,0.19069821139176688,-0.1850052004059156,136
10,15710000.0,1538.0,1535.2708333333333,1535.2708333333333,1538.2708333333333,1000.0,1500.0,1500.0,1500.0,0.03192751247435808,-0.026137481965124606,-0.603483315706253,0.7063283974474127,0.002053991965526207,0.0014306578933346,0.7078799090602181,0.022888113123675186,-0.023151493941744167,0.000884372740983963,0.04788403306156397,-0.06703747622668743,-10.07958984375,0.05604287702590227,-0.21150348335504532,-0.039696862921118736,137
11,15720000.0,1538.0,1535.1666666666667,1535.1666666666667,1538.1666666666667,1000.0,1500.0,1500.0,1500.0,0.031634847521781924,-0.025514110326766967,-0.6054498338699341,0.7063311067494479,0.0022005988073281265,0.0014590275664390488,0.707876671444286,0.02442830614745617,-0.020205620676279068,0.0022723479196429253,-0.014365210197865963,0.014365386217832565,-10.0580415725708,0.12569371238350868,-0.13222761079669,0.11745521239936352,138
