,timestamp,u0,u1,u2,u3,u4,u5,u6,u7,vx,vy,vz,q0,q1,q2,q3,ang_vel_x,ang_vel_y,ang_vel_z,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],ang_acc_x,ang_acc_y,ang_acc_z,V_air_body_x,V_air_body_y,V_air_body_z,AoA
0,14340000.0,0.535,0.535,0.537,0.536,0.0,0.0,0.0,0.0,-0.012625947147607803,0.012236128896474838,-0.08687341421842576,0.7069247961044312,0.004493015740687649,0.0018892277730628848,0.7072715560595194,0.064486064016819,-0.0271344855427742,0.003862390760332346,0.01256955973803997,-0.04489110875874758,-10.204686164855957,0.4820527633031209,0.08848444124062856,0.1866319552063942,0.011921942892220334,0.011835221079548043,-0.08702828634530403,-1.4346544353413573
1,14350000.0,0.5360999999999999,0.5349,0.5374000000000001,0.5367999999999999,0.0,0.0,0.0,0.0,-0.013496370632201434,0.012879050485789776,-0.09096649423241615,0.7069056481122971,0.004815920168766752,0.0020068613084731624,0.7072884812951088,0.06635670363903046,-0.028240542858839035,0.0028357501917829113,-0.030526074580848217,-0.10654180869460106,-10.18673038482666,0.37935470789670944,0.08649433450773358,-0.04412088729441166,0.01252438826966047,0.01261091156885183,-0.09114290850082883,-1.4342367442121908
2,14360000.0,0.5372,0.5347999999999999,0.5378,0.5375999999999999,0.0,0.0,0.0,0.0,-0.014366794116795062,0.013521972075104714,-0.09505957424640656,0.706883925658006,0.005138526491534252,0.002150472396841416,0.7073075312834519,0.0715731531381607,-0.02818593941628933,0.005358484573662281,-0.041898537427186966,-0.055066466331481934,-10.146629333496094,0.3234912057717641,0.03728986158967018,-0.022950644294420876,0.013128157633175243,0.013377879484432729,-0.09525888453871469,-1.4338434613633104
3,14370000.0,0.5383,0.5347000000000001,0.5382,0.5384000000000001,0.0,0.0,0.0,0.0,-0.015237217601388693,0.01416489366441965,-0.09915265426039696,0.7068583415104792,0.005460685656334345,0.002333049814646634,0.7073297684009259,0.07788467034697533,-0.02254247386008501,0.005554454245915015,0.031124623492360115,0.06344653479754925,-10.22683334350586,0.47703366726636887,0.1739791538566351,0.08515876531600952,0.013735615760261609,0.014133821845004087,-0.099376226136661,-1.433448234229663
4,14380000.0,0.5394000000000001,0.5346,0.5385999999999999,0.5392,0.0,0.0,0.0,0.0,-0.016107641085982324,0.014807815253734589,-0.10324573427438735,0.7068327573629526,0.005782844821134439,0.0025156272324518515,0.7073520055183997,0.0780162587761879,-0.02454236149787903,0.007180670276284218,0.05746084079146385,-0.02873024344444275,-10.214862823486328,0.42557429273923236,0.23087291046977043,0.06714751323064169,0.014341557520326852,0.014883803851126719,-0.10349493714379032,-1.4331006670682187
5,14390000.0,0.5405,0.5345,0.539,0.54,0.0,0.0,0.0,0.0,-0.017054532207548618,0.015492940172553062,-0.10758105024695397,0.706807173215426,0.006105003985934532,0.002698204650257069,0.7073742426358737,0.07386195659637451,-0.022331195573012035,0.004049113641182582,0.05027823895215988,-0.05327081028372049,-10.214264392852783,0.03509216755628586,0.03713372256606817,-0.017901167273521423,0.014987075568623033,0.015701234418675734,-0.10785838033881846,-1.432728951754858
6,14400000.0,0.5415999999999999,0.5344000000000001,0.5394000000000001,0.5408,0.0,0.0,0.0,0.0,-0.018307293877005578,0.01634687840938568,-0.11288531005382538,0.7067815890678992,0.006427163150734626,0.002880782068062287,0.7073964797533475,0.06679046154022217,-0.013429412618279457,0.004937936086207628,-0.008379707112908363,-0.04908095300197601,-10.240002632141113,-0.44793328642845154,0.30340322107076645,-0.11247041821479797,0.015795191200908623,0.016805286007322173,-0.11319702040882478,-1.4321543529331002
7,14410000.0,0.5427000000000001,0.5343,0.5398,0.5415999999999999,0.0,0.0,0.0,0.0,-0.019560055546462535,0.017200816646218302,-0.11818956986069679,0.706756018102169,0.0067083166795782745,0.0030447602330241352,0.7074190527200699,0.057758017132679626,-0.012081573872516552,0.007611880777403712,0.014963760622777045,-0.04728531092405319,-10.287886619567871,-0.7518293857574463,0.4783853739500046,0.08407757431268692,0.016605125987151192,0.017911592035392807,-0.11853557641819663,-1.4316164430333609
8,14420000.0,0.5438,0.5342,0.5402,0.5424000000000001,0.0,0.0,0.0,0.0,-0.020812817215919495,0.01805475488305092,-0.12349382966756821,0.7067304998636246,0.00682544766459614,0.0031343413866125047,0.707442969083786,0.04785967618227005,-0.013141556642949581,0.009927794337272644,0.026336219161748886,-0.050278063863515854,-10.257957458496094,-0.9445458650588989,0.32498155534267426,0.21335034569104513,0.017429207221454857,0.019052818756106583,-0.12386721271161967,-1.431005275635949
9,14430000.0,0.5449,0.5340999999999999,0.5405999999999999,0.5432,0.0,0.0,0.0,0.0,-0.022065578885376455,0.018908693119883538,-0.12879808947443963,0.7067049816250801,0.006942578649614006,0.003223922540200874,0.7074668854475021,0.035932792971531555,-0.007296217217420538,0.009029724635183811,0.0023942021653056145,-0.030525891110301018,-10.354323863983154,-1.0759023427963257,0.14422858133912086,0.1474988143891096,0.018253037672164796,0.020190811908485658,-0.12919959041250328,-1.430447340583199
10,14440000.0,0.546,0.534,0.541,0.544,0.0,0.0,0.0,0.0,-0.023318340554833412,0.019762631356716156,-0.13410234928131104,0.7066794633865356,0.007059709634631872,0.0033135036937892437,0.7074908018112183,0.025963222607970238,-0.0015193604631349444,0.005833322182297707,0.056263744831085205,-0.03591284528374672,-10.301054000854492,-1.0952465534210205,0.38013853629430133,-0.09253905713558197,0.01907661699872572,0.02132557090718379,-0.1345327080866762,-1.4299363069101205
