idx,timestamp,u0,u1,u3,u4,u6,throttle,aileron,elevator,rudder,vx,vy,vz,q0,q1,q2,q3,ang_vel_x,ang_vel_y,ang_vel_z,acc_b_x,acc_b_y,acc_b_z,ang_acc_b_x,ang_acc_b_y,ang_acc_b_z,aux1,landed
22,30.66,0,0,0,0,0,0.0,0,0.9857,0,7.5357428,0,0.38993385,0.9820849137850188,0.0,0.1884389081794739,0.0,0,-0.0011542763,0,3.62988135018272,0,-9.1121005703961,0,-0.0026738025868468,0,1,0
23,30.69,0,0,0,0,0,0.0,0,0.98505,0,7.535729,0,0.38999063,0.9820881764856274,0.0,0.1884219032043118,0.0,0,-0.0012412911,0,3.629490917723509,0,-9.1118476126176,0,-0.0027267145983749,0,1,0
24,30.72,0,0,0,0,0,0.0,0,0.9844,0,7.5357175,0,0.39005923,0.9820916859467024,0.0,0.1884036103538464,0.0,0,-0.0013298931,0,3.629085172945087,0,-9.11158489485138,0,-0.0027759920788285,0,1,0
25,30.75,0,0,0,0,0,0.0,0,0.98375,0,7.5357094,0,0.39014015,0.9820954449034204,0.0,0.1883840149799156,0.0,0,-0.0014199736,0,3.628664215946381,0,-9.11131063743468,0,-0.002821799938778,0,1,0
26,30.78,0,0,0,0,0,0.0,0,0.9831,0,7.5357046,0,0.39023376,0.9820994560846468,0.0,0.1883631024331497,0.0,0,-0.0015114283,0,3.628229214951696,0,-9.111028704897288,0,-0.0028643695965071,0,1,0
27,30.81,0,0,0,0,0,0.0,0,0.98245,0,7.535704,0,0.39034042,0.9821037250192368,0.0,0.1883408434284481,0.0,0,-0.0016041601,0,3.627780609830976,0,-9.11073850366686,0,-0.0029038204035886,0,1,0
28,30.84,0,0,0,0,0,0.0,0,0.9818,0,7.535708,0,0.39046046,0.9821082572279344,0.0,0.1883172086791586,0.0,0,-0.0016980753,0,3.627318873612608,0,-9.110442741980764,0,-0.0029403656843079,0,1,0
29,30.87,0,0,0,0,0,0.0,0,0.98115,0,7.535717,0,0.39059418,0.98211305261142,0.0,0.1882921981662501,0.0,0,-0.001793087,0,3.626844408649869,0,-9.110141415782726,0,-0.002974107358769,0,1,0
30,30.9,0,0,0,0,0,0.0,0,0.9805,0,7.535732,0,0.3907418,0.9821181166753512,0.0,0.1882657826001874,0.0,0,-0.0018891109,0,3.6263578733329647,0,-9.109836676847994,0,-0.0030052177407322,0,1,0
31,30.93,0,0,0,0,0,0.0,0,0.97985,0,7.535753,0,0.3909035,0.9821234521113256,0.0,0.1882379473244771,0.0,0,-0.0019860682,0,3.625859467351236,0,-9.109529087789936,0,-0.0030338345971742,0,1,0
32,30.96,0,0,0,0,0,0.0,0,0.9792,0,7.5357804,0,0.39107946,0.9821290587986382,0.0,0.1882086923160061,0.0,0,-0.002083884,0,3.625350454039799,0,-9.10922092571067,0,-0.003060063563657,0,1,0
33,30.99,0,0,0,0,0,0.0,0,0.97855,0,7.5358152,0,0.39126977,0.9821349422185688,0.0,0.1881779882805864,0.0,0,-0.002182487,0,3.624830492679228,0,-9.108912680003474,0,-0.0030840046636033,0,1,0
34,31.02,0,0,0,0,0,0.0,0,0.9779,0,7.535858,0,0.39147457,0.9821411022352264,0.0,0.1881458351922101,0.0,0,-0.002281808,0,3.624299519346858,0,-9.108604290574894,0,-0.0031057788654993,0,1,0
35,31.05,0,0,0,0,0,0.0,0,0.97725,0,7.535909,0,0.3916939,0.9821475415093972,0.0,0.1881122183885109,0.0,0,-0.0023817825,0,3.62375900693646,0,-9.108298604814111,0,-0.003125499456543,0,1,0
36,31.08,0,0,0,0,0,0.0,0,0.9766,0,7.5359693,0,0.39192775,0.982154262693362,0.0,0.1880771232055036,0.0,0,-0.0024823486,0,3.623208188190492,0,-9.107995660858473,0,-0.0031432500825703,0,1,0
37,31.11,0,0,0,0,0,0.0,0,0.97595,0,7.5360394,0,0.39217615,0.982161265628656,0.0,0.1880405496128867,0.0,0,-0.0025834474,0,3.6226475010850794,0,-9.107697137425172,0,-0.0031591096306743,0,1,0
38,31.14,0,0,0,0,0,0.0,0,0.9753,0,7.5361195,0,0.392439,0.982168552951593,0.0,0.1880024829436404,0.0,0,-0.002685022,0,3.622078049416135,0,-9.107404713417091,0,-0.0031731520437008,0,1,0
39,31.17,0,0,0,0,0,0.0,0,0.97465,0,7.53621,0,0.3927163,0.9821761244885874,0.0,0.1879629231645936,0.0,0,-0.0027870182,0,3.621498920787608,0,-9.10711786622619,0,-0.0031854479180043,0,1,0
40,31.2,0,0,0,0,0,0.0,0,0.974,0,7.536312,0,0.3930079,0.9821839828594978,0.0,0.1879218556056045,0.0,0,-0.0028893834,0,3.620910314266492,0,-9.106837658842906,0,-0.0031960649611148,0,1,0
41,31.23,0,0,0,0,0,0.0,0,0.97335,0,7.536426,0,0.39331377,0.9821921278752168,0.0,0.1878792802305615,0.0,0,-0.0029920673,0,3.62031274631212,0,-9.106565306105477,0,-0.0032050919074435,0,1,0
42,31.26,0,0,0,0,0,0.0,0,0.9727,0,7.5365524,0,0.3936337,0.9822005593396924,0.0,0.1878351970020413,0.0,0,-0.0030950222,0,3.61970627551226,0,-9.106301400164046,0,-0.0032125624424956,0,1,0
43,31.29,0,0,0,0,0,0.0,0,0.97205,0,7.5366917,0,0.3939675,0.9822092798482108,0.0,0.1877895912452518,0.0,0,-0.0031982015,0,3.619090266093801,0,-9.10604764203685,0,-0.0032185335693475,0,1,0
44,31.32,0,0,0,0,0,0.0,0,0.9714,0,7.5368443,0,0.3943151,0.9822182863911448,0.0,0.1877424775559414,0.0,0,-0.0033015604,0,3.618465356181341,0,-9.10580350050854,0,-0.0032230848099749,0,1,0
45,31.35,0,0,0,0,0,0.0,0,0.97075,0,7.537011,0,0.39467618,0.982227581548396,0.0,0.187693841256417,0.0,0,-0.003405056,0,3.617831428103729,0,-9.105570723862405,0,-0.0032262168898035,0,1,0
46,31.38,0,0,0,0,0,0.0,0,0.9701,0,7.5371923,0,0.3950506,0.9822371678899324,0.0,0.1876436676671089,0.0,0,-0.0035086458,0,3.6171881447746577,0,-9.10534930485334,0,-0.0032279788472351,0,1,0
47,31.41,0,0,0,0,0,0.0,0,0.96945,0,7.537389,0,0.3954381,0.9822470423848833,0.0,0.1875919713797728,0.0,0,-0.003612289,0,3.6165350322950034,0,-9.105138103639726,0,-0.0032284441931936,0,1,0
48,31.44,0,0,0,0,0,0.0,0,0.9688,0,7.5376005,0,0.39583844,0.982257204792876,0.0,0.1875387523486438,0.0,0,-0.0037159466,0,3.6158727648148927,0,-9.1049417721641,0,-0.0032276305906666,0,1,0
49,31.47,0,0,0,0,0,0.0,0,0.96815,0,7.5378284,0,0.39625138,0.9822676576601868,0.0,0.1874839958897032,0.0,0,-0.0038195802,0,3.6152005233804254,0,-9.104756924541269,0,-0.0032255565150302,0,1,0
50,31.5,0,0,0,0,0,0.0,0,0.9675,0,7.538073,0,0.39667666,0.9822783979368728,0.0,0.1874277165911456,0.0,0,-0.003923152,0,3.614518462610752,0,-9.1045863521295,0,-0.0032222890916715,0,1,0
51,31.53,0,0,0,0,0,0.0,0,0.96685,0,7.5383344,0,0.39711398,0.9822894253612472,0.0,0.1873699144032226,0.0,0,-0.0040266262,0,3.613826306793823,0,-9.104429659955391,0,-0.0032178411307731,0,1,0
52,31.56,0,0,0,0,0,0.0,0,0.9662,0,7.5386133,0,0.39756304,0.98230073966454,0.0,0.1873105892748665,0.0,0,-0.0041299677,0,3.613124202831986,0,-9.104287316209176,0,-0.0032122504260466,0,1,0
53,31.59,0,0,0,0,0,0.0,0,0.96555,0,7.53891,0,0.39802358,0.9823123405708978,0.0,0.1872497411536917,0.0,0,-0.004233142,0,3.6124112777554336,0,-9.104160052939672,0,-0.0032055269476251,0,1,0
54,31.62,0,0,0,0,0,0.0,0,0.9649,0,7.539225,0,0.3984953,0.9823242277973832,0.0,0.1871873699859974,0.0,0,-0.004336115,0,3.611687597569461,0,-9.104047233011508,0,-0.0031977322347412,0,1,0
55,31.65,0,0,0,0,0,0.0,0,0.96425,0,7.539559,0,0.39897782,0.9823364010539748,0.0,0.1871234757167698,0.0,0,-0.0044388548,0,3.6109533484282816,0,-9.103950666721705,0,-0.0031888468561758,0,1,0
56,31.68,0,0,0,0,0,0.0,0,0.9636,0,7.539912,0,0.3994709,0.9823488572561834,0.0,0.1870580729278224,0.0,0,-0.0045413286,0,3.6102073209482537,0,-9.103869210625115,0,-0.0031789552926712,0,1,0
57,31.71,0,0,0,0,0,0.0,0,0.96295,0,7.540285,0,0.39997417,0.9823615961028096,0.0,0.1869911615620916,0.0,0,-0.0046435064,0,3.609450683739946,0,-9.103805299010332,0,-0.003168009509767,0,1,0
58,31.74,0,0,0,0,0,0.0,0,0.9623,0,7.540678,0,0.4004873,0.9823746172857036,0.0,0.1869227415612323,0.0,0,-0.0047453563,0,3.608681965050403,0,-9.103756531212095,0,-0.0031560914679629,0,1,0
59,31.77,0,0,0,0,0,0.0,0,0.96165,0,7.5410914,0,0.40100998,0.9823879204897652,0.0,0.1868528128656213,0.0,0,-0.0048468495,0,3.607901372933312,0,-9.103725355349097,0,-0.0031431515581412,0,1,0
60,31.8,0,0,0,0,0,0.0,0,0.961,0,7.5415254,0,0.40154186,0.9824015026096832,0.0,0.1867813900532822,0.0,0,-0.0049479553,0,3.607107997454965,0,-9.103710549196812,0,-0.0031292945318959,0,1,0
61,31.83,0,0,0,0,0,0.0,0,0.96035,0,7.5419803,0,0.40208262,0.982415363319716,0.0,0.1867084730626616,0.0,0,-0.005048646,0,3.606302499144676,0,-9.103712823753035,0,-0.0031144682957477,0,1,0
62,31.86,0,0,0,0,0,0.0,0,0.9597,0,7.5424566,0,0.40263194,0.9824294995062384,0.0,0.1866340764703005,0.0,0,-0.005148893,0,3.605483570966836,0,-9.103730988301304,0,-0.0030987499206894,0,1,0
63,31.89,0,0,0,0,0,0.0,0,0.95905,0,7.542955,0,0.40318948,0.9824439108332652,0.0,0.1865582002128,0.0,0,-0.0052486695,0,3.604651846860509,0,-9.10376685403186,0,-0.0030821625385218,0,1,0
64,31.92,0,0,0,0,0,0.0,0,0.9584,0,7.543475,0,0.40375486,0.982458594179344,0.0,0.1864808588653191,0.0,0,-0.0053479495,0,3.603807164863616,0,-9.103821630989092,0,-0.0030646751354151,0,1,0
65,31.95,0,0,0,0,0,0.0,0,0.95775,0,7.544018,0,0.40432778,0.9824735491986408,0.0,0.1864020523626977,0.0,0,-0.0054467055,0,3.6029486235619776,0,-9.103892429212356,0,-0.0030463369461667,0,1,0
66,31.98,0,0,0,0,0,0.0,0,0.9571,0,7.5445833,0,0.4049079,0.9824887755387668,0.0,0.1863217806385889,0.0,0,-0.0055449125,0,3.602075512461636,0,-9.10398104258022,0,-0.0030271424141735,0,1,0
67,32.01,0,0,0,0,0,0.0,0,0.95645,0,7.5451717,0,0.4054949,0.982504270065585,0.0,0.1862400582659163,0.0,0,-0.005642545,0,3.601188782216125,0,-9.104087413282627,0,-0.0030071365101449,0,1,0
68,32.04,0,0,0,0,0,0.0,0,0.9558,0,7.545783,0,0.4060884,0.9825200296433598,0.0,0.1861568998173616,0.0,0,-0.005739578,0,3.6002874434082552,0,-9.104212246903993,0,-0.0029863371734132,0,1,0
69,32.07,0,0,0,0,0,0.0,0,0.95515,0,7.546418,0,0.40668815,0.9825360539076662,0.0,0.1860723052244791,0.0,0,-0.0058359886,0,3.5993707902419936,0,-9.10435325676116,0,-0.0029647618919334,0,1,0
