idx,timestamp,u0,u1,u3,u4,u6,throttle,aileron,elevator,rudder,vx,vy,vz,q0,q1,q2,q3,ang_vel_x,ang_vel_y,ang_vel_z,acc_b_x,acc_b_y,acc_b_z,ang_acc_b_x,ang_acc_b_y,ang_acc_b_z,aux1
22,30.66,0,0,0,0,0,0.0,0,0.9857,0,7.5357428,0,0.38993385,0.9820849137850188,0.0,0.1884389081794739,0.0,0,-0.0011542763,0,3.6298813501827194,0,-9.1121005703961,0,-0.0026738025868468683,0,1
23,30.689999999999998,0,0,0,0,0,0.0,0,0.98505,0,7.535729,0,0.38999063,0.9820881764856274,0.0,0.18842190320431182,0.0,0,-0.0012412911,0,3.6294909177235084,0,-9.1118476126176,0,-0.002726714598374939,0,1
24,30.72,0,0,0,0,0,0.0,0,0.9844,0,7.5357175,0,0.39005923,0.9820916859467023,0.0,0.1884036103538464,0.0,0,-0.0013298931,0,3.6290851729450866,0,-9.11158489485138,0,-0.002775992078828559,0,1
25,30.75,0,0,0,0,0,0.0,0,0.98375,0,7.5357094,0,0.39014015,0.9820954449034203,0.0,0.18838401497991566,0.0,0,-0.0014199736,0,3.6286642159463804,0,-9.11131063743468,0,-0.0028217999387780074,0,1
26,30.779999999999998,0,0,0,0,0,0.0,0,0.9831,0,7.5357046,0,0.39023376,0.9820994560846467,0.0,0.18836310243314972,0.0,0,-0.0015114283,0,3.628229214951696,0,-9.111028704897288,0,-0.0028643695965071764,0,1
27,30.81,0,0,0,0,0,0.0,0,0.98245,0,7.535704,0,0.39034042,0.9821037250192368,0.0,0.18834084342844815,0.0,0,-0.0016041601,0,3.627780609830976,0,-9.11073850366686,0,-0.0029038204035886197,0,1
28,30.84,0,0,0,0,0,0.0,0,0.9818,0,7.535708,0,0.39046046,0.9821082572279343,0.0,0.18831720867915866,0.0,0,-0.0016980753,0,3.627318873612608,0,-9.110442741980764,0,-0.002940365684307932,0,1
29,30.869999999999997,0,0,0,0,0,0.0,0,0.98115,0,7.535717,0,0.39059418,0.9821130526114199,0.0,0.18829219816625015,0.0,0,-0.001793087,0,3.6268444086498692,0,-9.110141415782726,0,-0.0029741073587690463,0,1
30,30.9,0,0,0,0,0,0.0,0,0.9805,0,7.535732,0,0.3907418,0.9821181166753513,0.0,0.1882657826001874,0.0,0,-0.0018891109,0,3.6263578733329647,0,-9.109836676847994,0,-0.0030052177407322647,0,1
31,30.93,0,0,0,0,0,0.0,0,0.97985,0,7.535753,0,0.3909035,0.9821234521113257,0.0,0.18823794732447716,0.0,0,-0.0019860682,0,3.6258594673512357,0,-9.109529087789936,0,-0.0030338345971742354,0,1
32,30.959999999999997,0,0,0,0,0,0.0,0,0.9792,0,7.5357804,0,0.39107946,0.9821290587986382,0.0,0.18820869231600615,0.0,0,-0.002083884,0,3.6253504540397987,0,-9.10922092571067,0,-0.003060063563657042,0,1
33,30.99,0,0,0,0,0,0.0,0,0.97855,0,7.5358152,0,0.39126977,0.9821349422185688,0.0,0.1881779882805864,0.0,0,-0.002182487,0,3.6248304926792283,0,-9.108912680003474,0,-0.003084004663603328,0,1
34,31.02,0,0,0,0,0,0.0,0,0.9779,0,7.535858,0,0.39147457,0.9821411022352265,0.0,0.1881458351922101,0.0,0,-0.002281808,0,3.624299519346858,0,-9.108604290574894,0,-0.0031057788654993666,0,1
35,31.049999999999997,0,0,0,0,0,0.0,0,0.97725,0,7.535909,0,0.3916939,0.9821475415093972,0.0,0.18811221838851094,0.0,0,-0.0023817825,0,3.62375900693646,0,-9.108298604814111,0,-0.003125499456543079,0,1
36,31.08,0,0,0,0,0,0.0,0,0.9766,0,7.5359693,0,0.39192775,0.9821542626933621,0.0,0.18807712320550368,0.0,0,-0.0024823486,0,3.623208188190492,0,-9.107995660858473,0,-0.003143250082570386,0,1
37,31.11,0,0,0,0,0,0.0,0,0.97595,0,7.5360394,0,0.39217615,0.982161265628656,0.0,0.18804054961288674,0.0,0,-0.0025834474,0,3.6226475010850785,0,-9.107697137425172,0,-0.0031591096306743337,0,1
38,31.14,0,0,0,0,0,0.0,0,0.9753000000000001,0,7.5361195,0,0.392439,0.982168552951593,0.0,0.18800248294364044,0.0,0,-0.002685022,0,3.622078049416135,0,-9.107404713417091,0,-0.0031731520437008865,0,1
39,31.169999999999998,0,0,0,0,0,0.0,0,0.97465,0,7.53621,0,0.3927163,0.9821761244885874,0.0,0.18796292316459368,0.0,0,-0.0027870182,0,3.6214989207876083,0,-9.10711786622619,0,-0.0031854479180043783,0,1
40,31.2,0,0,0,0,0,0.0,0,0.974,0,7.536312,0,0.3930079,0.9821839828594978,0.0,0.18792185560560457,0.0,0,-0.0028893834,0,3.6209103142664922,0,-9.106837658842906,0,-0.0031960649611148728,0,1
41,31.23,0,0,0,0,0,0.0,0,0.97335,0,7.536426,0,0.39331377,0.9821921278752167,0.0,0.18787928023056155,0.0,0,-0.0029920673,0,3.6203127463121203,0,-9.106565306105475,0,-0.0032050919074435302,0,1
42,31.259999999999998,0,0,0,0,0,0.0,0,0.9727,0,7.5365524,0,0.3936337,0.9822005593396923,0.0,0.18783519700204138,0.0,0,-0.0030950222,0,3.61970627551226,0,-9.106301400164046,0,-0.003212562442495696,0,1
43,31.29,0,0,0,0,0,0.0,0,0.97205,0,7.5366917,0,0.3939675,0.9822092798482109,0.0,0.18778959124525185,0.0,0,-0.0031982015,0,3.619090266093801,0,-9.10604764203685,0,-0.0032185335693475183,0,1
44,31.32,0,0,0,0,0,0.0,0,0.9714,0,7.5368443,0,0.3943151,0.9822182863911447,0.0,0.18774247755594148,0.0,0,-0.0033015604,0,3.618465356181341,0,-9.105803500508541,0,-0.0032230848099749653,0,1
45,31.349999999999998,0,0,0,0,0,0.0,0,0.97075,0,7.537011,0,0.39467618,0.982227581548396,0.0,0.18769384125641703,0.0,0,-0.003405056,0,3.617831428103729,0,-9.105570723862405,0,-0.0032262168898035937,0,1
46,31.38,0,0,0,0,0,0.0,0,0.9701,0,7.5371923,0,0.3950506,0.9822371678899325,0.0,0.18764366766710894,0.0,0,-0.0035086458,0,3.6171881447746577,0,-9.105349304853341,0,-0.0032279788472351738,0,1
47,31.41,0,0,0,0,0,0.0,0,0.96945,0,7.537389,0,0.3954381,0.9822470423848831,0.0,0.1875919713797728,0.0,0,-0.003612289,0,3.6165350322950034,0,-9.105138103639726,0,-0.003228444193193656,0,1
48,31.439999999999998,0,0,0,0,0,0.0,0,0.9688,0,7.5376005,0,0.39583844,0.982257204792876,0.0,0.18753875234864387,0.0,0,-0.0037159466,0,3.6158727648148927,0,-9.1049417721641,0,-0.003227630590666654,0,1
49,31.47,0,0,0,0,0,0.0,0,0.96815,0,7.5378284,0,0.39625138,0.9822676576601868,0.0,0.18748399588970321,0.0,0,-0.0038195802,0,3.6152005233804254,0,-9.104756924541269,0,-0.0032255565150302846,0,1
50,31.5,0,0,0,0,0,0.0,0,0.9675,0,7.538073,0,0.39667666,0.9822783979368727,0.0,0.1874277165911456,0.0,0,-0.003923152,0,3.6145184626107514,0,-9.1045863521295,0,-0.0032222890916715893,0,1
51,31.529999999999998,0,0,0,0,0,0.0,0,0.96685,0,7.5383344,0,0.39711398,0.9822894253612471,0.0,0.18736991440322268,0.0,0,-0.0040266262,0,3.613826306793823,0,-9.104429659955393,0,-0.003217841130773145,0,1
52,31.56,0,0,0,0,0,0.0,0,0.9662,0,7.5386133,0,0.39756304,0.9823007396645399,0.0,0.18731058927486655,0.0,0,-0.0041299677,0,3.613124202831986,0,-9.104287316209176,0,-0.0032122504260466795,0,1
53,31.59,0,0,0,0,0,0.0,0,0.96555,0,7.53891,0,0.39802358,0.9823123405708978,0.0,0.18724974115369172,0.0,0,-0.004233142,0,3.6124112777554336,0,-9.104160052939672,0,-0.0032055269476251964,0,1
54,31.619999999999997,0,0,0,0,0,0.0,0,0.9649,0,7.539225,0,0.3984953,0.9823242277973833,0.0,0.18718736998599747,0.0,0,-0.004336115,0,3.611687597569461,0,-9.104047233011508,0,-0.0031977322347412117,0,1
55,31.65,0,0,0,0,0,0.0,0,0.96425,0,7.539559,0,0.39897782,0.9823364010539747,0.0,0.1871234757167698,0.0,0,-0.0044388548,0,3.6109533484282816,0,-9.103950666721703,0,-0.003188846856175871,0,1
56,31.68,0,0,0,0,0,0.0,0,0.9636,0,7.539912,0,0.3994709,0.9823488572561834,0.0,0.18705807292782248,0.0,0,-0.0045413286,0,3.6102073209482537,0,-9.103869210625115,0,-0.0031789552926712976,0,1
57,31.709999999999997,0,0,0,0,0,0.0,0,0.96295,0,7.540285,0,0.39997417,0.9823615961028097,0.0,0.1869911615620916,0.0,0,-0.0046435064,0,3.6094506837399463,0,-9.103805299010332,0,-0.003168009509767016,0,1
58,31.74,0,0,0,0,0,0.0,0,0.9623,0,7.540678,0,0.4004873,0.9823746172857036,0.0,0.18692274156123231,0.0,0,-0.0047453563,0,3.608681965050403,0,-9.103756531212097,0,-0.0031560914679629125,0,1
59,31.77,0,0,0,0,0,0.0,0,0.96165,0,7.5410914,0,0.40100998,0.9823879204897651,0.0,0.1868528128656213,0.0,0,-0.0048468495,0,3.6079013729333114,0,-9.103725355349097,0,-0.0031431515581412856,0,1
60,31.799999999999997,0,0,0,0,0,0.0,0,0.961,0,7.5415254,0,0.40154186,0.9824015026096833,0.0,0.1867813900532822,0.0,0,-0.0049479553,0,3.6071079974549654,0,-9.103710549196812,0,-0.0031292945318959894,0,1
61,31.83,0,0,0,0,0,0.0,0,0.96035,0,7.5419803,0,0.40208262,0.9824153633197159,0.0,0.18670847306266164,0.0,0,-0.005048646,0,3.6063024991446757,0,-9.103712823753037,0,-0.0031144682957477943,0,1
62,31.86,0,0,0,0,0,0.0,0,0.9597,0,7.5424566,0,0.40263194,0.9824294995062384,0.0,0.1866340764703005,0.0,0,-0.005148893,0,3.605483570966836,0,-9.103730988301303,0,-0.0030987499206894223,0,1
63,31.89,0,0,0,0,0,0.0,0,0.95905,0,7.542955,0,0.40318948,0.9824439108332652,0.0,0.18655820021280006,0.0,0,-0.0052486695,0,3.6046518468605084,0,-9.103766854031859,0,-0.0030821625385218858,0,1
64,31.919999999999998,0,0,0,0,0,0.0,0,0.9584,0,7.543475,0,0.40375486,0.982458594179344,0.0,0.18648085886531918,0.0,0,-0.0053479495,0,3.603807164863616,0,-9.103821630989092,0,-0.0030646751354151845,0,1
65,31.95,0,0,0,0,0,0.0,0,0.95775,0,7.544018,0,0.40432778,0.9824735491986408,0.0,0.18640205236269775,0.0,0,-0.0054467055,0,3.6029486235619776,0,-9.103892429212356,0,-0.003046336946166782,0,1
